timestamp,power,appliance1,appliance2,appliance3,appliance5,appliance7
1649695178,345.39,0,345.39,0.0,0.0,0.0
1649695184,343.99,0,343.99,0.0,0.0,0.0
1649695189,349.08,0,349.08,0.0,0.0,0.0
1649695195,355.54,0,355.54,0.0,0.0,0.0
1649695200,350.08,0,350.08,0.0,0.0,0.0
1649695206,343.73,0,343.73,0.0,0.0,0.0
1649695211,343.31,0,343.31,0.0,0.0,0.0
1649695217,340.81,0,340.81,0.0,0.0,0.0
1649695222,342.63,0,342.63,0.0,0.0,0.0
1649695228,339.18,0,339.18,0.0,0.0,0.0
1649695233,341.26,0,341.26,0.0,0.0,0.0
1649695239,338.80,0,338.8,0.0,0.0,0.0
1649695245,348.05,0,348.05,0.0,0.0,0.0
1649695250,344.37,0,344.37,0.0,0.0,0.0
1649695256,339.67,0,339.67,0.0,0.0,0.0
1649695261,337.69,0,337.69,0.0,0.0,0.0
1649695266,337.50,0,337.5,0.0,0.0,0.0
1649695272,339.73,0,339.73,0.0,0.0,0.0
1649695278,338.24,0,338.24,0.0,0.0,0.0
1649695283,338.53,0,338.53,0.0,0.0,0.0
1649695289,338.63,0,338.63,0.0,0.0,0.0
1649695294,336.31,0,336.31,0.0,0.0,0.0
1649695300,336.67,0,336.67,0.0,0.0,0.0
1649695305,335.76,0,335.76,0.0,0.0,0.0
1649695311,340.33,0,340.33,0.0,0.0,0.0
1649695316,337.21,0,337.21,0.0,0.0,0.0
1649695322,338.16,0,338.16,0.0,0.0,0.0
1649695327,339.67,0,339.67,0.0,0.0,0.0
1649695333,334.57,0,334.57,0.0,0.0,0.0
1649695338,338.21,0,338.21,0.0,0.0,0.0
1649695344,327.06,0,327.06,0.0,0.0,0.0
1649695349,331.47,0,331.47,0.0,0.0,0.0
1649695355,331.90,0,331.9,0.0,0.0,0.0
1649695360,333.70,0,333.7,0.0,0.0,0.0
1649695366,331.68,0,331.68,0.0,0.0,0.0
1649695371,321.11,0,321.11,0.0,0.0,0.0
1649695376,331.00,0,331.0,0.0,0.0,0.0
1649695382,321.65,0,321.65,0.0,0.0,0.0
1649695387,321.57,0,321.57,0.0,0.0,0.0
1649695393,321.26,0,321.26,0.0,0.0,0.0
1649695399,321.52,0,321.52,0.0,0.0,0.0
1649695404,322.58,0,322.58,0.0,0.0,0.0
1649695410,320.22,0,320.22,0.0,0.0,0.0
1649695415,320.84,0,320.84,0.0,0.0,0.0
1649695421,322.25,0,322.25,0.0,0.0,0.0
1649695426,323.51,0,323.51,0.0,0.0,0.0
1649695432,321.64,0,321.64,0.0,0.0,0.0
1649695437,322.05,0,322.05,0.0,0.0,0.0
1649695443,342.98,0,342.98,0.0,0.0,0.0
1649695448,322.60,0,322.6,0.0,0.0,0.0
1649695454,357.85,0,357.85,0.0,0.0,0.0
