timestamp,power,toaster,tv,microwave,exhaust,heater
1649691715,214.29,0,70.00,0,0,0
1649691721,214.97,0,70.00,0,0,0
1649691726,214.35,0,70.00,0,0,0
1649691732,214.82,0,70.00,0,0,0
1649691737,213.55,0,70.00,0,0,0
1649691743,213.49,0,70.00,0,0,0
1649691748,214.42,0,70.00,0,0,0
1649691754,213.97,0,70.00,0,0,0
1649691759,214.17,0,70.00,0,0,0
1649691765,212.91,0,70.00,0,0,0
1649691770,213.35,0,70.00,0,0,0
1649691776,214.90,0,70.00,0,0,0
1649691781,213.50,0,70.00,0,0,0
1649691787,213.41,0,70.00,0,0,0
1649691792,213.44,0,70.00,0,0,0
1649691798,213.27,0,70.00,0,0,0
1649691803,214.91,0,70.00,0,0,0
1649691809,217.81,0,70.00,0,0,0
1649691814,221.24,0,70.00,0,0,0
1649691819,219.50,0,70.00,0,0,0
1649691825,213.48,0,70.00,0,0,0
1649691831,213.02,0,70.00,0,0,0
1649691836,213.91,0,70.00,0,0,0
1649691841,214.08,0,70.00,0,0,0
1649691847,213.78,0,70.00,0,0,0
1649691852,212.25,0,70.00,0,0,0
1649691858,213.52,0,70.00,0,0,0
1649691863,213.25,0,70.00,0,0,0
1649691869,214.08,0,70.00,0,0,0
1649691874,219.82,0,70.00,0,0,0
1649691880,214.23,0,70.00,0,0,0
1649691885,214.75,0,70.00,0,0,0
1649691891,214.09,0,70.00,0,0,0
1649691896,214.48,0,70.00,0,0,0
1649691902,213.69,0,70.00,0,0,0
1649691907,213.32,0,70.00,0,0,0
1649691913,212.59,0,70.00,0,0,0
1649691918,213.27,0,70.00,0,0,0
1649691924,212.90,0,70.00,0,0,0
1649691935,266.92,0,70.00,0,0,0
1649691940,270.39,0,70.00,0,0,0
1649691946,265.94,0,70.00,0,0,0
1649691951,292.42,0,70.00,0,0,0
1649691957,286.84,0,70.00,0,0,0
1649691963,280.17,0,70.00,0,0,0
1649691968,296.39,0,70.00,0,0,0
1649691974,268.98,0,70.00,0,0,0
1649691979,268.04,0,70.00,0,0,0
1649691985,274.26,0,70.00,0,0,0
1649691990,273.59,0,70.00,0,0,0
1649691995,264.69,0,70.00,0,0,0
1649692001,264.65,0,70.00,0,0,0
1649692007,266.20,0,70.00,0,0,0
1649692012,263.72,0,70.00,0,0,0
1649692018,262.39,0,70.00,0,0,0
1649692023,259.17,0,70.00,0,0,0
1649692029,260.77,0,70.00,0,0,0
1649692034,259.96,0,70.00,0,0,0
1649692040,258.80,0,70.00,0,0,0
1649692045,259.09,0,70.00,0,0,0
1649692051,270.53,0,70.00,0,0,0
1649692056,268.98,0,70.00,0,0,0
1649692062,265.38,0,70.00,0,0,0
1649692068,264.32,0,70.00,0,0,0
1649692073,269.47,0,70.00,0,0,0
1649692079,261.96,0,70.00,0,0,0
1649692084,280.22,0,70.00,0,0,0
1649692090,265.74,0,70.00,0,0,0
1649692095,261.42,0,70.00,0,0,0
1649692101,262.72,0,70.00,0,0,0
1649692106,265.13,0,70.00,0,0,0
1649692112,267.69,0,70.00,0,0,0
1649692117,260.07,0,70.00,0,0,0
1649692123,263.85,0,70.00,0,0,0
1649692128,263.18,0,70.00,0,0,0
1649692134,260.20,0,70.00,0,0,0
1649692140,265.48,0,70.00,0,0,0
1649692145,263.35,0,70.00,0,0,0
1649692150,259.79,0,70.00,0,0,0
1649692156,258.46,0,70.00,0,0,0
1649692162,257.02,0,70.00,0,0,0
1649692167,257.42,0,70.00,0,0,0
1649692172,256.58,0,70.00,0,0,0
1649692178,257.39,0,70.00,0,0,0
1649692183,257.65,0,70.00,0,0,0
1649692189,257.36,0,70.00,0,0,0
1649692195,257.13,0,70.00,0,0,0
1649692200,257.57,0,70.00,0,0,0
1649692206,263.49,0,70.00,0,0,0
1649692211,264.47,0,70.00,0,0,0
1649692217,277.86,0,70.00,0,0,0
1649692223,273.47,0,70.00,0,0,0
1649692228,270.90,0,70.00,0,0,0
1649692234,258.49,0,70.00,0,0,0
1649692239,265.76,0,70.00,0,0,0
1649692244,265.13,0,70.00,0,0,0
1649692250,263.92,0,70.00,0,0,0
1649692256,259.63,0,70.00,0,0,0
1649692261,264.59,0,70.00,0,0,0
1649692267,262.93,0,70.00,0,0,0
1649692272,260.80,0,70.00,0,0,0
1649692277,261.11,0,70.00,0,0,0
1649692283,263.60,0,70.00,0,0,0
1649692288,266.63,0,70.00,0,0,0
1649692294,267.47,0,70.00,0,0,0
1649692299,267.09,0,70.00,0,0,0
